,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
1546,S7664,https://www.nysenate.gov/legislation/bills/2013/s7664/amendment/original,Relates to voting on the FDNY's pension fund subchapter two board of trustees," July 22, 2014",New York City Administrative Code,GOLDEN,
1547,S7683,https://www.nysenate.gov/legislation/bills/2013/s7683/amendment/original,Authorizes the St. Paul boulevard fire district to offer an optional twenty year retirement plan to certain firefighters," July 22, 2014",Retirement,O'BRIEN,
1548,S6720,https://www.nysenate.gov/legislation/bills/2013/s6720/amendment/original,Authorizes the village of Norwood to enter into a lease with Clarkson University," July 22, 2014",St. Lawrence County,GRIFFO,
1549,A9739,https://www.nysenate.gov/legislation/bills/2013/a9739/amendment/original,Extends provisions relating to owner liability for failure of operator to comply with traffic control indications in the city of Yonkers," July 22, 2014","Yonkers, City of",MAYER,
1550,A9744,https://www.nysenate.gov/legislation/bills/2013/a9744/amendment/original,Relates to tax abatements and exemptions for rent regulated apartments occupied by persons with disabilities," July 22, 2014",Real Property Tax Law,KAVANAGH,
1551,A9757,https://www.nysenate.gov/legislation/bills/2013/a9757/amendment/original,Makes technical correction relating to exercise of power of appointment and an authorized trustee's authority to invade trust principal," July 22, 2014","Estates, Powers and Trusts Law",BRAUNSTEIN,
1552,S6969,https://www.nysenate.gov/legislation/bills/2013/s6969/amendment/original,Relates to the membership of the New York state energy research and development authority," July 22, 2014",Public Authorities Law,MAZIARZ,
1553,A9770,https://www.nysenate.gov/legislation/bills/2013/a9770/amendment/original,Makes technical corrections to the correction law," July 22, 2014",Correction Law,O'DONNELL,
1554,A8277,https://www.nysenate.gov/legislation/bills/2013/a8277/amendment/original,Relates to an exemption for a liquor license at 161 Grand Street," July 22, 2014",Alcoholic Beverage Control Law,LENTOL,
1555,A9801,https://www.nysenate.gov/legislation/bills/2013/a9801/amendment/original,Adds 2 representatives of home care agencies to the workgroup on state health information technology infrastructure," July 22, 2014",Public Health Law,GOTTFRIED,
1556,S6977,https://www.nysenate.gov/legislation/bills/2013/s6977/amendment/original,Relates to refunding bonds and extending the provisions thereof," July 22, 2014",Local Finance,RANZENHOFER,
1557,A9803,https://www.nysenate.gov/legislation/bills/2013/a9803/amendment/original,Extends provisions of law relating to adjudications and owner liability for a violation of traffic-control signal indications in Nassau county," July 22, 2014",Vehicle and Traffic Law,HOOPER,
1558,A9834,https://www.nysenate.gov/legislation/bills/2013/a9834/amendment/original,Amends chapter 746 of the laws of 1988 extending the effectiveness of provisions relating to civil liability of vehicle owners for traffic control signal violations," July 22, 2014",Vehicle and Traffic Law,HEASTIE,
1559,A9952,https://www.nysenate.gov/legislation/bills/2013/a9952/amendment/original,Relates to a lump sum payment at retirement," July 22, 2014",Retirement and Social Security Law,ABBATE,
1560,A10019,https://www.nysenate.gov/legislation/bills/2013/a10019/amendment/original,Relates to leaves of absence for state employees," July 22, 2014",State,ABBATE,
1561,A8404,https://www.nysenate.gov/legislation/bills/2013/a8404/amendment/original,Authorizes Wheatfield's building inspector to reside outside of the town," July 22, 2014",Town Law,RYAN,
1562,A10075,https://www.nysenate.gov/legislation/bills/2013/a10075/amendment/original,Relates to the hours of operation of video lottery gaming and the annual value of the free play allowance credits," July 22, 2014",Tax Law,GOLDFEDER,
1563,A8436,https://www.nysenate.gov/legislation/bills/2013/a8436/amendment/original,Relates to vacancies on the community district education council," July 22, 2014",Education Law,O'DONNELL,
1564,A8698,https://www.nysenate.gov/legislation/bills/2013/a8698/amendment/original,Relates to certain payments to the horsemen's organization," July 22, 2014","Racing, Pari-Mutuel Wagering and Breeding Law",PRETLOW,
1565,A8819,https://www.nysenate.gov/legislation/bills/2013/a8819/amendment/original,Increases the number of land banks authorized to exist in the state to twenty," July 22, 2014",Not-for-Profit Corporation Law,MAGNARELLI,
1566,A8877,https://www.nysenate.gov/legislation/bills/2013/a8877/amendment/original,Relates to the city of Albany pilot residential parking system and extending the effectiveness thereof," July 22, 2014",Vehicle and Traffic Law,FAHY,
1567,A8972,https://www.nysenate.gov/legislation/bills/2013/a8972/amendment/original,Relates to furnishing motion papers to the court," July 22, 2014",Civil Practice Law and Rules,HENNESSEY,
1568,A9032,https://www.nysenate.gov/legislation/bills/2013/a9032/amendment/original,Relates to statutory installment bonds and extending the effectiveness thereof," July 22, 2014",Local Finance Law,MAGNARELLI,
1569,A9035,https://www.nysenate.gov/legislation/bills/2013/a9035/amendment/original,Extends provisions of law relating to installment loans," July 22, 2014",Local Finance Law,MAGNARELLI,
1570,A9055,https://www.nysenate.gov/legislation/bills/2013/a9055/amendment/original,Makes technical correction to provisions granting jurisdiction to surrogate's court over actions taken pursuant to the uniform transfers to minors act," July 22, 2014",Surrogate's Court Procedure Act,BUCHWALD,
1571,A9057,https://www.nysenate.gov/legislation/bills/2013/a9057/amendment/original,Relates to extending certain provisions authorizing banks and trust companies to exercise the rights of national banks," July 22, 2014",Banking Law,ROBINSON,
1572,A9099,https://www.nysenate.gov/legislation/bills/2013/a9099/amendment/original,Relating to the eligibility of Ronald Stroh to take the competitive civil service examination to be placed on the eligibility list for appointment as a full-time police officer," July 22, 2014",Civil Service,CAHILL,
1573,A9115,https://www.nysenate.gov/legislation/bills/2013/a9115/amendment/original,"Extends the provisions of chapter 831 of the laws of 1981, amending the labor law relating to fees and expenses in unemployment insurance proceedings"," July 22, 2014",Labor Law,MAYER,
1574,S5994,https://www.nysenate.gov/legislation/bills/2013/s5994/amendment/original,"Authorizes the village of Tuckahoe, in the county of Westchester, to offer a certain retirement option to police officer Christopher J. Santiago"," July 22, 2014",Retirement,LATIMER,
1575,S6247,https://www.nysenate.gov/legislation/bills/2013/s6247/amendment/original,Authorizes the city of Middletown to sell or pledge delinquent liens held by such city," July 22, 2014","Middletown, City of",BONACIC,
1576,S6248,https://www.nysenate.gov/legislation/bills/2013/s6248/amendment/original,Amends chapter 508 of the laws of 2013 relating to eligible years for payment in lieu of taxes for certain agreements," July 22, 2014",Taxation,ROBACH,
1577,S6329,https://www.nysenate.gov/legislation/bills/2013/s6329/amendment/original,Relates to extending certain provisions of the public library construction grant program," July 22, 2014",Education,FARLEY,
1578,S6954,https://www.nysenate.gov/legislation/bills/2013/s6954/amendment/original,"Extends from September 1, 2014 until September 1, 2017, the expiration of provisions authorizing local correction facilities to enter into agreements to take custody of out of state inmates"," July 22, 2014",Correctional Services,GALLIVAN,
1579,S6978,https://www.nysenate.gov/legislation/bills/2013/s6978/amendment/original,Extends the special powers of the environmental facilities corporation," July 22, 2014",Environmental Conservation,RANZENHOFER,
1580,S7098,https://www.nysenate.gov/legislation/bills/2013/s7098/amendment/original,Relates to stallion eligibility for New York-bred harness horse events for stallions owned or jointly owned by a resident of a state other than New York," July 22, 2014","Racing, Pari-Mutuel Wagering and Breeding Law",BONACIC,
1581,S7351,https://www.nysenate.gov/legislation/bills/2013/s7351/amendment/original,Increases the threshold amount which triggers the publication requirement of procurement opportunities," July 22, 2014",Economic Development Law,MARTINS,
1582,S7365,https://www.nysenate.gov/legislation/bills/2013/s7365/amendment/original,"Authorizes the town of Carmel, in the county of Putnam, to offer police officers Robert Behan and James Evans an optional 20 year retirement plan"," July 22, 2014",Retirement,BALL,
1583,S7840,https://www.nysenate.gov/legislation/bills/2013/s7840/amendment/original,"Relates to compensation, benefits and other terms and conditions of employment of certain state officers and employees;appropriation; repealer"," July 22, 2014",Civil Service Law,GOLDEN,
1584,S7857,https://www.nysenate.gov/legislation/bills/2013/s7857/amendment/original,Provides for the adjustment of stipends of certain incumbents in the state university of New York; appropriations," July 22, 2014",Education,LAVALLE,
1585,S7646,https://www.nysenate.gov/legislation/bills/2013/s7646/amendment/original,"Authorizes the DeWitt fire district, town of DeWitt, county of Onondaga, to offer the 20 year retirement plan to firefighters Gavin J. MacLachlin and Michael E. O'Connor"," July 22, 2014",Retirement,DEFRANCISCO,
1586,S7824,https://www.nysenate.gov/legislation/bills/2013/s7824/amendment/original,"Designates a portion of the state highway system in the county of Ulster as the ""Sergeant Shawn Michael Farrell II Memorial Highway"""," July 3, 2014",Highway Law,SEWARD,
1587,A9518,https://www.nysenate.gov/legislation/bills/2013/a9518/amendment/original,"Designates a portion of the state highway system as the ""Twin Cities Vietnam Veterans Memorial Highway"""," July 3, 2014",Highway Law,SCHIMMINGER,
1588,A8479,https://www.nysenate.gov/legislation/bills/2013/a8479/amendment/original,Extends the time limitations to commence certain actions," June 30, 2014",Civil Practice Law and Rules,SANTABARBARA,
1589,A8659,https://www.nysenate.gov/legislation/bills/2013/a8659/amendment/original,Extends the effectiveness of provisions relating to physical therapy assistants," June 30, 2014",Education Law,GLICK,
1590,A8853,https://www.nysenate.gov/legislation/bills/2013/a8853/amendment/original,Extends certain provisions of law relating to temporary investments by local governments," June 30, 2014",General Municipal Law,FARRELL,
1591,A9033,https://www.nysenate.gov/legislation/bills/2013/a9033/amendment/original,"Relates to federal bond volume allocations, the unified state bond ceiling and the private activity bond allocation act of 2014"," June 30, 2014",Bonds and Notes,MAGNARELLI,
